job_title,company,industry,location,required_skills,experience_level,salary_range,job_description,posting_date,demand_label,Certificates
DevOps Engineer,Company_498,E-commerce,Kolkata,"Python, Data Analysis, Statistics",Senior,3-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-30,Medium,None
Cyber Security Analyst,Company_100,IT,Hyderabad,"Java, Spring, Microservices",Mid,3-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-25,High,Cybersecurity Essentials
Data Analyst,Company_57,Telecom,Delhi,"Java, Spring, Microservices",Senior,3-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-31,Medium,Google Data Analytics Certificate
Frontend Developer,Company_91,Manufacturing,Chennai,"Java, Spring, Microservices",Senior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-13,High,None
Software Developer,Company_114,Automobile,Remote,"Linux, Networking, Security",Fresher,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-10,High,None
Backend Developer,Company_379,Automobile,Remote,"Linux, Networking, Security",Senior,3-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,Low,None
ML Engineer,Company_139,E-commerce,Pune,"JavaScript, React, HTML, CSS",Fresher,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-07,Low,None
Data Scientist,Company_429,Telecom,Delhi,"JavaScript, React, HTML, CSS",Senior,10-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-25,High,Certified Data Scientist
Data Scientist,Company_281,Telecom,Delhi,"JavaScript, React, HTML, CSS",Junior,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-22,Low,Certified Data Scientist
DevOps Engineer,Company_488,IT,Delhi,"AWS, Docker, Kubernetes",Mid,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-21,High,None
Product Manager,Company_259,IT,Kolkata,"Java, Spring, Microservices",Junior,8-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,Medium,None
Product Manager,Company_318,Education,Chennai,"Power BI, Excel, SQL",Junior,4-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-05,Low,None
Product Manager,Company_67,E-commerce,Kolkata,"Linux, Networking, Security",Junior,6-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-10,High,None
ML Engineer,Company_223,IT,Bangalore,"AWS, Docker, Kubernetes",Fresher,3-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-04,Low,None
Cyber Security Analyst,Company_370,Automobile,Chennai,"Python, SQL, Machine Learning",Senior,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-20,Low,Cybersecurity Essentials
Cyber Security Analyst,Company_414,Telecom,Kolkata,"Java, Spring, Microservices",Mid,8-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-02,High,Cybersecurity Essentials
Frontend Developer,Company_453,Manufacturing,Mumbai,"Linux, Networking, Security",Fresher,3-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-01,Low,None
Data Analyst,Company_146,Finance,Mumbai,"Python, Data Analysis, Statistics",Mid,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-01,High,Google Data Analytics Certificate
Backend Developer,Company_183,Education,Mumbai,"Python, Deep Learning, NLP",Mid,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-18,Low,None
Product Manager,Company_34,Telecom,Pune,"JavaScript, React, HTML, CSS",Junior,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-27,High,None
AI Engineer,Company_264,Finance,Remote,"AWS, Docker, Kubernetes",Mid,8-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-01,Low,None
Backend Developer,Company_108,Automobile,Pune,"JavaScript, React, HTML, CSS",Fresher,6-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-24,Medium,None
DevOps Engineer,Company_419,Finance,Hyderabad,"Python, Deep Learning, NLP",Senior,5-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-03,Low,None
Frontend Developer,Company_81,Finance,Kolkata,"Python, Deep Learning, NLP",Junior,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-10,Low,None
Software Developer,Company_481,E-commerce,Chennai,"Java, Spring, Microservices",Junior,10-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-06,Low,None
Data Scientist,Company_120,Manufacturing,Pune,"Python, SQL, Machine Learning",Junior,9-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-20,Low,Certified Data Scientist
Business Analyst,Company_456,Automobile,Kolkata,"Linux, Networking, Security",Senior,9-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-25,Low,None
Software Developer,Company_164,Finance,Remote,"Python, Deep Learning, NLP",Senior,9-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-26,Low,None
Frontend Developer,Company_458,Telecom,Delhi,"Linux, Networking, Security",Senior,6-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-17,Low,None
Frontend Developer,Company_431,Automobile,Bangalore,"JavaScript, React, HTML, CSS",Junior,6-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-11,Low,None
Cyber Security Analyst,Company_216,E-commerce,Mumbai,"Linux, Networking, Security",Senior,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-01,Medium,Cybersecurity Essentials
Business Analyst,Company_121,E-commerce,Chennai,"AWS, Docker, Kubernetes",Junior,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-06,Medium,None
Software Developer,Company_441,Finance,Chennai,"Java, Spring, Microservices",Mid,4-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-07,Low,None
Data Scientist,Company_304,Automobile,Remote,"Linux, Networking, Security",Senior,10-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-17,High,Certified Data Scientist
Data Analyst,Company_413,Automobile,Delhi,"Python, Data Analysis, Statistics",Junior,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-02,High,Google Data Analytics Certificate
ML Engineer,Company_279,Automobile,Kolkata,"Java, Spring, Microservices",Junior,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-21,Low,None
Cloud Engineer,Company_359,E-commerce,Chennai,"Linux, Networking, Security",Mid,4-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-25,Medium,AWS Certified Solutions Architect
DevOps Engineer,Company_99,E-commerce,Bangalore,"Linux, Networking, Security",Junior,4-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-19,Low,None
Frontend Developer,Company_432,Healthcare,Delhi,"AWS, Docker, Kubernetes",Mid,10-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-23,Low,None
Backend Developer,Company_453,Finance,Pune,"Power BI, Excel, SQL",Senior,6-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,Low,None
Product Manager,Company_207,Healthcare,Delhi,"Linux, Networking, Security",Mid,8-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-25,Low,None
Software Developer,Company_326,Education,Delhi,"AWS, Docker, Kubernetes",Junior,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-29,Medium,None
Product Manager,Company_322,Telecom,Remote,"JavaScript, React, HTML, CSS",Fresher,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-04,Low,None
ML Engineer,Company_95,E-commerce,Delhi,"Python, Data Analysis, Statistics",Senior,8-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-24,Low,None
Business Analyst,Company_350,IT,Hyderabad,"Python, Deep Learning, NLP",Fresher,3-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-23,Medium,None
AI Engineer,Company_485,Telecom,Hyderabad,"Java, Spring, Microservices",Fresher,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-12,Low,None
Cyber Security Analyst,Company_304,Education,Bangalore,"AWS, Docker, Kubernetes",Senior,8-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-25,Medium,Cybersecurity Essentials
Cyber Security Analyst,Company_434,E-commerce,Kolkata,"Power BI, Excel, SQL",Fresher,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-16,Medium,Cybersecurity Essentials
DevOps Engineer,Company_369,Telecom,Chennai,"Linux, Networking, Security",Fresher,4-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-01,High,None
Data Analyst,Company_400,Telecom,Bangalore,"AWS, Docker, Kubernetes",Senior,9-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-01,Medium,Google Data Analytics Certificate
Cloud Engineer,Company_3,Education,Hyderabad,"Power BI, Excel, SQL",Fresher,5-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-24,High,AWS Certified Solutions Architect
DevOps Engineer,Company_253,Education,Hyderabad,"Python, SQL, Machine Learning",Senior,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-01,Low,None
AI Engineer,Company_257,Automobile,Delhi,"Python, Deep Learning, NLP",Fresher,7-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-18,High,None
Frontend Developer,Company_115,Telecom,Hyderabad,"Power BI, Excel, SQL",Senior,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-06,High,None
Cyber Security Analyst,Company_385,IT,Delhi,"Python, Deep Learning, NLP",Senior,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-27,Low,Cybersecurity Essentials
ML Engineer,Company_263,Telecom,Chennai,"Python, SQL, Machine Learning",Mid,10-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-03,Low,None
Cyber Security Analyst,Company_68,Telecom,Kolkata,"Power BI, Excel, SQL",Fresher,6-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-17,Medium,Cybersecurity Essentials
Cloud Engineer,Company_34,Education,Mumbai,"Java, Spring, Microservices",Senior,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-11,Low,AWS Certified Solutions Architect
Cyber Security Analyst,Company_275,E-commerce,Kolkata,"Python, Deep Learning, NLP",Junior,10-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-22,High,Cybersecurity Essentials
Data Analyst,Company_171,IT,Mumbai,"Linux, Networking, Security",Junior,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-03,Medium,Google Data Analytics Certificate
AI Engineer,Company_164,Telecom,Chennai,"Power BI, Excel, SQL",Fresher,7-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-09,Medium,None
Product Manager,Company_259,Automobile,Mumbai,"JavaScript, React, HTML, CSS",Junior,10-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-14,Low,None
Software Developer,Company_121,IT,Remote,"Java, Spring, Microservices",Mid,5-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-26,Medium,None
Data Analyst,Company_185,IT,Chennai,"Java, Spring, Microservices",Fresher,4-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-20,Low,Google Data Analytics Certificate
Frontend Developer,Company_16,IT,Mumbai,"JavaScript, React, HTML, CSS",Mid,8-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-07,Low,None
Data Analyst,Company_300,E-commerce,Mumbai,"Power BI, Excel, SQL",Fresher,4-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-28,Medium,Google Data Analytics Certificate
Data Analyst,Company_140,Manufacturing,Delhi,"Linux, Networking, Security",Junior,8-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-06,Low,Google Data Analytics Certificate
Frontend Developer,Company_318,E-commerce,Hyderabad,"Linux, Networking, Security",Senior,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-12,Medium,None
Cyber Security Analyst,Company_481,Manufacturing,Mumbai,"Linux, Networking, Security",Senior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-15,High,Cybersecurity Essentials
DevOps Engineer,Company_403,Manufacturing,Pune,"JavaScript, React, HTML, CSS",Senior,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-19,Medium,None
DevOps Engineer,Company_238,Telecom,Chennai,"Power BI, Excel, SQL",Senior,3-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-04,Medium,None
